train_acc;train_loss;test_acc;test_class_acc;test_loss
0.6890101325019485;0.7713091435696311;0.6894409937888198;0.6900547255939413;0.922219870808702
0.7731878409976617;0.6017414060474279;0.7608695652173914;0.7610099595393712;0.4924079440765499
0.8035853468433359;0.5208799992560968;0.6614906832298136;0.6541459176263098;0.8561808742721628
0.7887763055339049;0.5551618126483049;0.8043478260869565;0.7986564996368918;0.5140516409037276
0.8129384255650819;0.48032809574438645;0.84472049689441;0.8400897395995436;0.39378132916385344
0.8254091971940763;0.457444401662608;0.8416149068322981;0.8404917522564581;0.3924383155492522
0.8316445830085737;0.481173943539476;0.7608695652173914;0.7629746342981637;0.6032952691272179
0.8246297739672642;0.459823207774389;0.8043478260869565;0.7994021682747173;0.46784634129231023
0.8519095869056897;0.40945487740628905;0.7888198757763976;0.7895852785558667;0.5611545933144433
0.8230709275136399;0.46475393706620527;0.6118012422360248;0.6166290590310198;0.9362427288701075
0.8277474668745128;0.4389112408005067;0.8540372670807453;0.8512358647162568;0.38181113715497605
0.8339828526890102;0.4471048619815919;0.6708074534161491;0.6589895217346197;0.7570134662323117
0.8448947778643804;0.40453978823040576;0.6956521739130435;0.6976086730988692;1.0369609905325847
0.8441153546375681;0.40227487131616424;0.7919254658385093;0.7952069716775599;0.5440853519469314
0.8487918939984411;0.3914955310866132;0.8167701863354038;0.8175446104367673;0.45896813986094104
0.8519095869056897;0.40241286051710046;0.7515527950310559;0.7536051457620085;0.5663003944647238
0.8651597817614964;0.37770533719661176;0.5;0.4963235294117647;1.5711557332032955
0.843335931410756;0.396055882481607;0.8726708074534162;0.8720497458242557;0.3185411388551967
0.8659392049883087;0.3589339090782687;0.7919254658385093;0.7838144517066086;0.5948331391681796
0.8448947778643804;0.4018725219152908;0.7763975155279503;0.7721431165058616;0.5039678736132864
0.8495713172252534;0.3709880967253553;0.8788819875776398;0.8764718850503165;0.325013136826687
0.8487918939984411;0.37771981984771796;0.8881987577639752;0.8861007365909327;0.2859424106452776
0.852689010132502;0.38873375240286534;0.7670807453416149;0.7724608361863264;0.537904265134231
0.8604832424006236;0.38420728430302925;0.8229813664596274;0.8240805581491856;0.5255860948692197
0.8464536243180046;0.3952779020542106;0.6956521739130435;0.6990416536985165;0.7200239374770881
0.8534684333593141;0.38697560948906984;0.8385093167701864;0.8358750907770517;0.43526795293603626
0.8721745908028059;0.3439795675158315;0.7360248447204969;0.7385426392779334;0.6094735747908954
0.8612626656274357;0.36490410744028917;0.8633540372670807;0.8645736072206661;0.4315776030145447
0.8503507404520655;0.38137324937181555;0.8509316770186336;0.8521176989314244;0.3916642248445416
0.8659392049883087;0.36936853889924703;0.8664596273291926;0.862096690528063;0.35903940632106357
